Nombre_Archivo,Tallo_ID,Altura_Tallo_Pixeles,Timestamp
foto_2025-09-02_09-00-02.jpg,1,67,2025-09-02
foto_2025-09-02_09-00-02.jpg,2,61,2025-09-02
foto_2025-09-02_09-00-02.jpg,3,63,2025-09-02
foto_2025-09-02_13-00-48.jpg,1,68,2025-09-02
foto_2025-09-02_13-00-48.jpg,2,71,2025-09-02
foto_2025-09-02_13-00-48.jpg,3,66,2025-09-02
foto_2025-09-02_16-00-57.jpg,1,79,2025-09-02
foto_2025-09-02_16-00-57.jpg,2,68,2025-09-02
foto_2025-09-02_16-00-57.jpg,3,58,2025-09-02
foto_2025-09-04_09-00-14.jpg,1,74,2025-09-04
foto_2025-09-04_09-00-14.jpg,2,78,2025-09-04
foto_2025-09-04_09-00-14.jpg,3,77,2025-09-04
foto_2025-09-04_13-00-31.jpg,1,72,2025-09-04
foto_2025-09-04_13-00-31.jpg,2,68,2025-09-04
foto_2025-09-04_13-00-31.jpg,3,68,2025-09-04
foto_2025-09-05_09-00-40.jpg,1,76,2025-09-05
foto_2025-09-05_09-00-40.jpg,2,82,2025-09-05
foto_2025-09-05_09-00-40.jpg,3,73,2025-09-05
foto_2025-09-05_13-00-51.jpg,1,82,2025-09-05
foto_2025-09-05_13-00-51.jpg,2,77,2025-09-05
foto_2025-09-05_13-00-51.jpg,3,74,2025-09-05
foto_2025-09-05_16-00-54.jpg,1,79,2025-09-05
foto_2025-09-05_16-00-54.jpg,2,80,2025-09-05
foto_2025-09-05_16-00-54.jpg,3,68,2025-09-05
foto_2025-09-06_09-00-56.jpg,1,75,2025-09-06
foto_2025-09-06_09-00-56.jpg,2,79,2025-09-06
foto_2025-09-06_09-00-56.jpg,3,71,2025-09-06
foto_2025-09-06_13-00-56.jpg,1,81,2025-09-06
foto_2025-09-06_13-00-56.jpg,2,79,2025-09-06
foto_2025-09-06_13-00-56.jpg,3,70,2025-09-06
foto_2025-09-06_16-00-55.jpg,1,75,2025-09-06
foto_2025-09-06_16-00-55.jpg,2,72,2025-09-06
foto_2025-09-06_16-00-55.jpg,3,71,2025-09-06
foto_2025-09-07_09-00-53.jpg,1,89,2025-09-07
foto_2025-09-07_09-00-53.jpg,2,77,2025-09-07
foto_2025-09-07_09-00-53.jpg,3,79,2025-09-07
foto_2025-09-07_13-00-53.jpg,1,74,2025-09-07
foto_2025-09-07_13-00-53.jpg,2,82,2025-09-07
foto_2025-09-07_13-00-53.jpg,3,64,2025-09-07
foto_2025-09-08_09-00-14.jpg,1,73,2025-09-08
foto_2025-09-08_09-00-14.jpg,2,78,2025-09-08
foto_2025-09-08_09-00-14.jpg,3,76,2025-09-08
foto_2025-09-08_13-00-28.jpg,1,74,2025-09-08
foto_2025-09-08_13-00-28.jpg,2,80,2025-09-08
foto_2025-09-08_13-00-28.jpg,3,73,2025-09-08
foto_2025-09-08_16-00-38.jpg,1,75,2025-09-08
foto_2025-09-08_16-00-38.jpg,2,78,2025-09-08
foto_2025-09-08_16-00-38.jpg,3,72,2025-09-08
foto_2025-09-09_13-00-58.jpg,1,86,2025-09-09
foto_2025-09-09_13-00-58.jpg,2,76,2025-09-09
foto_2025-09-09_13-00-58.jpg,3,76,2025-09-09
foto_2025-09-09_16-00-42.jpg,1,75,2025-09-09
foto_2025-09-09_16-00-42.jpg,2,81,2025-09-09
foto_2025-09-09_16-00-42.jpg,3,76,2025-09-09
foto_2025-09-10_09-00-57.jpg,1,83,2025-09-10
foto_2025-09-10_09-00-57.jpg,2,76,2025-09-10
foto_2025-09-10_09-00-57.jpg,3,81,2025-09-10
foto_2025-09-10_13-00-00.jpg,1,75,2025-09-10
foto_2025-09-10_13-00-00.jpg,2,70,2025-09-10
foto_2025-09-10_13-00-00.jpg,3,75,2025-09-10
foto_2025-09-10_16-00-00.jpg,1,87,2025-09-10
foto_2025-09-10_16-00-00.jpg,2,77,2025-09-10
foto_2025-09-10_16-00-00.jpg,3,75,2025-09-10
foto_2025-09-11_09-00-20.jpg,1,84,2025-09-11
foto_2025-09-11_09-00-20.jpg,2,77,2025-09-11
foto_2025-09-11_09-00-20.jpg,3,64,2025-09-11
foto_2025-09-11_13-00-32.jpg,1,83,2025-09-11
foto_2025-09-11_13-00-32.jpg,2,74,2025-09-11
foto_2025-09-11_13-00-32.jpg,3,71,2025-09-11
foto_2025-09-11_16-00-41.jpg,1,81,2025-09-11
foto_2025-09-11_16-00-41.jpg,2,74,2025-09-11
foto_2025-09-11_16-00-41.jpg,3,74,2025-09-11
foto_2025-09-12_09-00-29.jpg,1,97,2025-09-12
foto_2025-09-12_09-00-29.jpg,2,77,2025-09-12
foto_2025-09-12_09-00-29.jpg,3,67,2025-09-12
foto_2025-09-12_13-00-40.jpg,1,87,2025-09-12
foto_2025-09-12_13-00-40.jpg,2,79,2025-09-12
foto_2025-09-12_13-00-40.jpg,3,68,2025-09-12
foto_2025-09-12_16-00-49.jpg,1,86,2025-09-12
foto_2025-09-12_16-00-49.jpg,2,79,2025-09-12
foto_2025-09-12_16-00-49.jpg,3,69,2025-09-12
foto_2025-09-13_09-00-52.jpg,1,77,2025-09-13
foto_2025-09-13_09-00-52.jpg,2,68,2025-09-13
foto_2025-09-13_09-00-52.jpg,3,72,2025-09-13
foto_2025-09-13_13-00-02.jpg,1,79,2025-09-13
foto_2025-09-13_13-00-02.jpg,2,69,2025-09-13
foto_2025-09-13_13-00-02.jpg,3,75,2025-09-13
foto_2025-09-13_16-00-45.jpg,1,79,2025-09-13
foto_2025-09-13_16-00-45.jpg,2,83,2025-09-13
foto_2025-09-13_16-00-45.jpg,3,69,2025-09-13
foto_2025-09-14_09-00-59.jpg,1,101,2025-09-14
foto_2025-09-14_09-00-59.jpg,2,78,2025-09-14
foto_2025-09-14_09-00-59.jpg,3,69,2025-09-14
foto_2025-09-14_13-00-58.jpg,1,93,2025-09-14
foto_2025-09-14_13-00-58.jpg,2,78,2025-09-14
foto_2025-09-14_13-00-58.jpg,3,68,2025-09-14
foto_2025-09-14_16-00-58.jpg,1,88,2025-09-14
foto_2025-09-14_16-00-58.jpg,2,79,2025-09-14
foto_2025-09-14_16-00-58.jpg,3,68,2025-09-14
foto_2025-09-15_09-00-16.jpg,1,79,2025-09-15
foto_2025-09-15_09-00-16.jpg,2,83,2025-09-15
foto_2025-09-15_09-00-16.jpg,3,64,2025-09-15
foto_2025-09-15_13-00-27.jpg,1,80,2025-09-15
foto_2025-09-15_13-00-27.jpg,2,76,2025-09-15
foto_2025-09-15_13-00-27.jpg,3,65,2025-09-15
foto_2025-09-15_16-00-38.jpg,1,79,2025-09-15
foto_2025-09-15_16-00-38.jpg,2,83,2025-09-15
foto_2025-09-15_16-00-38.jpg,3,66,2025-09-15
foto_2025-09-16_13-00-32.jpg,1,87,2025-09-16
foto_2025-09-16_13-00-32.jpg,2,81,2025-09-16
foto_2025-09-16_13-00-32.jpg,3,66,2025-09-16
foto_2025-09-16_16-00-42.jpg,1,81,2025-09-16
foto_2025-09-16_16-00-42.jpg,2,83,2025-09-16
foto_2025-09-16_16-00-42.jpg,3,66,2025-09-16
foto_2025-09-17_09-00-31.jpg,1,88,2025-09-17
foto_2025-09-17_09-00-31.jpg,2,80,2025-09-17
foto_2025-09-17_09-00-31.jpg,3,64,2025-09-17
foto_2025-09-17_13-00-43.jpg,1,80,2025-09-17
foto_2025-09-17_13-00-43.jpg,2,86,2025-09-17
foto_2025-09-17_13-00-43.jpg,3,65,2025-09-17
foto_2025-09-17_16-00-52.jpg,1,81,2025-09-17
foto_2025-09-17_16-00-52.jpg,2,84,2025-09-17
foto_2025-09-17_16-00-52.jpg,3,64,2025-09-17
foto_2025-09-18_09-00-55.jpg,1,91,2025-09-18
foto_2025-09-18_09-00-55.jpg,2,82,2025-09-18
foto_2025-09-18_09-00-55.jpg,3,56,2025-09-18
foto_2025-09-18_16-00-57.jpg,1,76,2025-09-18
foto_2025-09-18_16-00-57.jpg,2,75,2025-09-18
foto_2025-09-18_16-00-57.jpg,3,79,2025-09-18
foto_2025-09-19_09-00-11.jpg,1,99,2025-09-19
foto_2025-09-19_09-00-11.jpg,2,72,2025-09-19
foto_2025-09-19_09-00-11.jpg,3,75,2025-09-19
foto_2025-09-19_13-00-38.jpg,1,85,2025-09-19
foto_2025-09-19_13-00-38.jpg,2,77,2025-09-19
foto_2025-09-19_13-00-38.jpg,3,70,2025-09-19
foto_2025-09-19_16-00-48.jpg,1,84,2025-09-19
foto_2025-09-19_16-00-48.jpg,2,72,2025-09-19
foto_2025-09-19_16-00-48.jpg,3,77,2025-09-19
foto_2025-09-20_09-00-05.jpg,1,101,2025-09-20
foto_2025-09-20_09-00-05.jpg,2,77,2025-09-20
foto_2025-09-20_09-00-05.jpg,3,71,2025-09-20
foto_2025-09-20_13-00-50.jpg,1,80,2025-09-20
foto_2025-09-20_13-00-50.jpg,2,83,2025-09-20
foto_2025-09-20_13-00-50.jpg,3,71,2025-09-20
foto_2025-09-20_16-00-00.jpg,1,85,2025-09-20
foto_2025-09-20_16-00-00.jpg,2,80,2025-09-20
foto_2025-09-20_16-00-00.jpg,3,71,2025-09-20
foto_2025-09-21_09-00-36.jpg,1,96,2025-09-21
foto_2025-09-21_09-00-36.jpg,2,78,2025-09-21
foto_2025-09-21_09-00-36.jpg,3,70,2025-09-21
foto_2025-09-21_13-00-46.jpg,1,84,2025-09-21
foto_2025-09-21_13-00-46.jpg,2,79,2025-09-21
foto_2025-09-21_13-00-46.jpg,3,69,2025-09-21
foto_2025-09-21_16-00-56.jpg,1,86,2025-09-21
foto_2025-09-21_16-00-56.jpg,2,79,2025-09-21
foto_2025-09-21_16-00-56.jpg,3,69,2025-09-21
foto_2025-09-22_09-00-39.jpg,1,104,2025-09-22
foto_2025-09-22_09-00-39.jpg,2,78,2025-09-22
foto_2025-09-22_09-00-39.jpg,3,63,2025-09-22
foto_2025-09-22_13-00-51.jpg,1,92,2025-09-22
foto_2025-09-22_13-00-51.jpg,2,82,2025-09-22
foto_2025-09-22_13-00-51.jpg,3,68,2025-09-22
foto_2025-09-22_16-00-01.jpg,1,94,2025-09-22
foto_2025-09-22_16-00-01.jpg,2,82,2025-09-22
foto_2025-09-22_16-00-01.jpg,3,70,2025-09-22
foto_2025-09-23_09-00-14.jpg,1,101,2025-09-23
foto_2025-09-23_09-00-14.jpg,2,87,2025-09-23
foto_2025-09-23_09-00-14.jpg,3,71,2025-09-23
foto_2025-09-23_13-00-46.jpg,1,91,2025-09-23
foto_2025-09-23_13-00-46.jpg,2,86,2025-09-23
foto_2025-09-23_13-00-46.jpg,3,62,2025-09-23
foto_2025-09-23_16-00-46.jpg,1,96,2025-09-23
foto_2025-09-23_16-00-46.jpg,2,86,2025-09-23
foto_2025-09-23_16-00-46.jpg,3,70,2025-09-23
foto_2025-09-24_09-00-29.jpg,1,113,2025-09-24
foto_2025-09-24_09-00-29.jpg,2,84,2025-09-24
foto_2025-09-24_09-00-29.jpg,3,63,2025-09-24
foto_2025-09-25_09-00-48.jpg,1,105,2025-09-25
foto_2025-09-25_09-00-48.jpg,2,83,2025-09-25
foto_2025-09-25_09-00-48.jpg,3,65,2025-09-25
foto_2025-09-07_16-00-03.jpg,1,73,2025-09-07
foto_2025-09-07_16-00-03.jpg,2,78,2025-09-07
foto_2025-09-07_16-00-03.jpg,3,81,2025-09-07
foto_2025-09-16_09-00-21.jpg,1,100,2025-09-16
foto_2025-09-16_09-00-21.jpg,2,78,2025-09-16
foto_2025-09-16_09-00-21.jpg,3,64,2025-09-16
foto_2025-09-25_13-00-42.jpg,1,94,2025-09-25
foto_2025-09-25_13-00-42.jpg,2,83,2025-09-25
foto_2025-09-25_13-00-42.jpg,3,61,2025-09-25
foto_2025-09-25_16-00-52.jpg,1,97,2025-09-25
foto_2025-09-25_16-00-52.jpg,2,83,2025-09-25
foto_2025-09-25_16-00-52.jpg,3,65,2025-09-25
foto_2025-09-26_13-00-24.jpg,1,101,2025-09-26
foto_2025-09-26_13-00-24.jpg,2,85,2025-09-26
foto_2025-09-26_13-00-24.jpg,3,60,2025-09-26
foto_2025-09-26_16-00-35.jpg,1,102,2025-09-26
foto_2025-09-26_16-00-35.jpg,2,85,2025-09-26
foto_2025-09-26_16-00-35.jpg,3,68,2025-09-26
foto_2025-09-27_13-00-49.jpg,1,101,2025-09-27
foto_2025-09-27_13-00-49.jpg,2,82,2025-09-27
foto_2025-09-27_13-00-49.jpg,3,68,2025-09-27
foto_2025-09-27_16-00-02.jpg,1,95,2025-09-27
foto_2025-09-27_16-00-02.jpg,2,83,2025-09-27
foto_2025-09-27_16-00-02.jpg,3,60,2025-09-27
